Year,Value,Units,Series
2009,274.03516784654,In number,Total
2010,210.905030705291,In number,Total
2011,264.075426543707,In number,Total
2012,231.027867736546,In number,Total
2013,272.637144745539,In number,Total
2014,251.904771737111,In number,Total
2015,221.843353942855,In number,Total
2016,248.553500122239,In number,Total
2017,294.515159461804,In number,Total
2018,238.986696407233,In number,Total
2019,191.987462043295,In number,Total
2020,127.334465195246,In number,Total
2021,176.339799125968,In number,Total
